area;ciudad;conglomerado;zona;sector;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;id_sector;id_hogar;fexp;plan_muestreo
1;10150;801;57;10;9;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;10150000801;1,015E+16;57,14540648;2712
1;10150;801;57;10;9;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;3;3;3;10150000801;1,015E+16;57,14540648;2712
1;10150;801;57;10;9;4;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;10150000801;1,015E+16;57,14540648;2712
1;10150;801;57;10;9;6;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150000801;1,015E+16;57,14540648;2712
1;10150;801;57;10;9;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150000801;1,015E+16;57,14540648;2712
1;10150;801;57;10;9;9;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;10150000801;1,015E+16;57,14540648;2712
1;10150;3402;76;8;5;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150003402;1,015E+16;111,4323605;2712
1;10150;3402;76;8;5;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150003402;1,015E+16;111,4323605;2712
1;10150;3402;76;8;5;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150003402;1,015E+16;111,4323605;2712
1;10150;3402;76;8;5;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150003402;1,015E+16;111,4323605;2712
1;10150;3402;76;8;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150003402;1,015E+16;111,4323605;2712
1;10150;3402;76;8;5;6;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150003402;1,015E+16;111,4323605;2712
1;10150;3402;76;8;5;7;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150003402;1,015E+16;111,4323605;2712
1;10150;4203;21;11;5;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004203;1,015E+16;256,8912593;2713
1;10150;4203;21;11;5;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004203;1,015E+16;256,8912593;2713
1;10150;4203;21;11;5;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004203;1,015E+16;256,8912593;2713
1;10150;4203;21;11;5;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004203;1,015E+16;256,8912593;2713
1;10150;4203;21;11;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004203;1,015E+16;256,8912593;2713
1;10150;4203;21;11;5;6;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004203;1,015E+16;256,8912593;2713
1;10150;4203;21;11;5;7;1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004203;1,015E+16;256,8912593;2713
1;10150;4401;6;1;9;1;1;3;3;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;3;3;3;3;10150004401;1,015E+16;46,2697424;2713
1;10150;4401;6;1;9;2;1;3;3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150004401;1,015E+16;46,2697424;2713
1;10150;4401;6;1;9;3;1;3;3;2;2;2;2;2;2;3;3;2;2;2;3;2;2;2;2;2;1;2;2;3;10150004401;1,015E+16;46,2697424;2713
1;10150;4401;6;1;9;4;1;3;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;3;3;3;3;10150004401;1,015E+16;46,2697424;2713
1;10150;4401;6;1;9;5;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;3;2;2;10150004401;1,015E+16;46,2697424;2713
1;10150;4401;6;1;9;6;1;3;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;3;3;2;3;10150004401;1,015E+16;46,2697424;2713
1;10150;4401;6;1;9;7;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150004401;1,015E+16;46,2697424;2713
1;10150;4404;6;2;9;1;1;3;3;1;2;2;2;2;2;1;2;2;2;3;2;2;2;2;2;2;3;3;3;3;10150004404;1,015E+16;100,255649;2713
1;10150;4404;6;2;9;1;2;3;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;3;3;3;3;10150004404;1,015E+16;100,255649;2713
1;10150;4404;6;2;9;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;10150004404;1,015E+16;100,255649;2713
1;10150;4404;6;2;9;3;1;3;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;3;3;3;10150004404;1,015E+16;100,255649;2713
1;10150;4404;6;2;9;4;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;10150004404;1,015E+16;100,255649;2713
1;10150;4404;6;2;9;5;1;1;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;3;3;10150004404;1,015E+16;100,255649;2713
1;10150;4404;6;2;9;6;1;3;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;3;3;10150004404;1,015E+16;100,255649;2713
1;10150;4404;6;2;9;7;1;3;3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150004404;1,015E+16;100,255649;2713
1;10150;4703;22;4;9;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004703;1,015E+16;183,6686067;2711
1;10150;4703;22;4;9;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;10150004703;1,015E+16;183,6686067;2711
1;10150;4703;22;4;9;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;10150004703;1,015E+16;183,6686067;2711
1;10150;4703;22;4;9;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004703;1,015E+16;183,6686067;2711
1;10150;4703;22;4;9;6;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;10150004703;1,015E+16;183,6686067;2711
1;10150;4703;22;4;9;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004703;1,015E+16;183,6686067;2711
1;10150;4703;22;4;9;9;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150004703;1,015E+16;183,6686067;2711
1;10150;5501;25;5;5;1;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150005501;1,015E+16;36,25744357;2712
1;10150;5501;25;5;5;2;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150005501;1,015E+16;36,25744357;2712
1;10150;5501;25;5;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150005501;1,015E+16;36,25744357;2712
1;10150;5501;25;5;5;6;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;10150005501;1,015E+16;36,25744357;2712
1;10150;5501;25;5;5;7;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;10150005501;1,015E+16;36,25744357;2712
1;10150;5501;25;5;5;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;10150005501;1,015E+16;36,25744357;2712
1;10150;5501;25;5;5;10;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150005501;1,015E+16;36,25744357;2712
1;10150;6201;3;8;9;1;1;2;2;2;2;3;1;3;1;1;1;3;3;3;3;3;3;2;2;2;2;2;2;2;10150006201;1,015E+16;147,0515435;2711
1;10150;6201;3;8;9;2;1;3;2;1;2;2;2;2;2;3;2;3;3;3;3;3;3;2;2;2;2;2;2;2;10150006201;1,015E+16;147,0515435;2711
1;10150;6201;3;8;9;3;1;2;2;1;2;3;1;3;2;1;1;3;3;3;3;3;3;2;2;2;2;2;3;3;10150006201;1,015E+16;147,0515435;2711
1;10150;6201;3;8;9;5;1;2;2;1;3;3;2;3;2;1;1;3;3;3;3;3;2;2;2;2;2;3;3;3;10150006201;1,015E+16;147,0515435;2711
1;10150;6201;3;8;9;6;1;3;2;2;2;3;1;2;2;1;2;3;3;1;3;3;3;2;2;2;2;2;2;2;10150006201;1,015E+16;147,0515435;2711
1;10150;6201;3;8;9;7;1;2;2;2;2;3;1;3;2;1;2;3;3;3;3;3;3;2;2;2;2;3;3;3;10150006201;1,015E+16;147,0515435;2711
1;10150;6201;3;8;9;8;1;2;2;1;3;3;2;3;1;1;1;3;3;3;3;3;3;2;2;2;2;3;3;3;10150006201;1,015E+16;147,0515435;2711
1;10150;6202;3;8;5;1;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;10150006202;1,015E+16;58,81456055;2711
1;10150;6202;3;10;5;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;10150006202;1,015E+16;58,81456055;2711
1;10150;6202;3;10;5;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150006202;1,015E+16;58,81456055;2711
1;10150;6202;3;10;5;4;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;3;3;3;10150006202;1,015E+16;58,81456055;2711
1;10150;6202;3;10;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;3;3;10150006202;1,015E+16;58,81456055;2711
1;10150;6202;3;10;5;6;1;3;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;3;3;3;3;10150006202;1,015E+16;58,81456055;2711
1;10150;6202;3;10;5;7;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;3;3;10150006202;1,015E+16;58,81456055;2711
1;10150;6701;32;2;9;1;1;2;3;2;3;3;1;3;2;2;2;3;1;2;3;3;3;2;2;2;3;3;3;2;10150006701;1,015E+16;315,729096;2713
1;10150;6701;32;2;9;2;1;3;3;2;2;3;2;3;2;3;2;3;1;3;2;3;3;2;2;2;2;1;3;1;10150006701;1,015E+16;315,729096;2713
1;10150;6701;32;2;9;3;1;2;2;3;3;2;1;2;1;2;2;3;1;1;3;1;3;2;2;2;3;2;3;1;10150006701;1,015E+16;315,729096;2713
1;10150;6701;32;2;9;6;1;2;1;2;2;2;2;2;1;2;1;3;1;3;3;3;3;2;2;2;2;1;2;1;10150006701;1,015E+16;315,729096;2713
1;10150;6701;32;2;9;7;1;3;2;2;2;3;1;3;1;2;2;3;1;3;1;3;3;2;2;2;3;1;3;1;10150006701;1,015E+16;315,729096;2713
1;10150;6701;32;2;9;8;1;2;1;2;2;2;1;3;1;1;2;3;1;3;1;3;3;2;2;2;2;3;3;3;10150006701;1,015E+16;315,729096;2713
1;10150;6701;32;2;9;9;1;2;2;1;2;3;1;2;1;1;2;3;3;3;3;3;2;2;2;2;1;3;3;2;10150006701;1,015E+16;315,729096;2713
1;10150;7402;58;7;5;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;3;3;3;2;2;2;2;2;2;2;10150007402;1,015E+16;112,8940265;2713
1;10150;7402;58;8;5;2;1;1;1;2;2;1;1;2;2;3;1;3;3;3;3;3;3;2;2;2;2;2;2;2;10150007402;1,015E+16;112,8940265;2713
1;10150;7402;58;8;5;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007402;1,015E+16;112,8940265;2713
1;10150;7402;58;7;5;4;1;1;1;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;10150007402;1,015E+16;112,8940265;2713
1;10150;7402;58;8;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007402;1,015E+16;112,8940265;2713
1;10150;7402;58;7;5;6;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007402;1,015E+16;112,8940265;2713
1;10150;7402;58;7;5;7;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007402;1,015E+16;112,8940265;2713
1;10150;7501;36;7;9;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007501;1,015E+16;90,71850286;2712
1;10150;7501;36;7;9;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;10150007501;1,015E+16;90,71850286;2712
1;10150;7501;36;7;9;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007501;1,015E+16;90,71850286;2712
1;10150;7501;36;7;9;4;1;2;1;2;2;2;2;2;2;2;2;3;3;2;2;2;2;1;2;1;2;2;2;2;10150007501;1,015E+16;90,71850286;2712
1;10150;7501;36;7;9;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007501;1,015E+16;90,71850286;2712
1;10150;7501;36;7;9;6;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007501;1,015E+16;90,71850286;2712
1;10150;7501;36;7;9;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007501;1,015E+16;90,71850286;2712
1;10150;7703;49;6;9;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007703;1,015E+16;144,1684971;2711
1;10150;7703;49;7;9;3;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;3;1;10150007703;1,015E+16;144,1684971;2711
1;10150;7703;49;7;9;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;10150007703;1,015E+16;144,1684971;2711
1;10150;7703;49;7;9;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;10150007703;1,015E+16;144,1684971;2711
1;10150;7703;49;7;9;7;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;10150007703;1,015E+16;144,1684971;2711
1;10150;7703;49;7;9;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007703;1,015E+16;144,1684971;2711
1;10150;7703;49;7;9;9;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007703;1,015E+16;144,1684971;2711
1;10150;7803;58;2;5;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;10150007803;1,015E+16;48,91497544;2712
1;10150;7803;58;2;5;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007803;1,015E+16;48,91497544;2712
1;10150;7803;58;2;5;3;1;2;2;2;2;2;2;1;1;1;1;3;3;3;3;3;3;2;2;2;2;2;2;2;10150007803;1,015E+16;48,91497544;2712
1;10150;7803;58;2;5;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007803;1,015E+16;48,91497544;2712
1;10150;7803;58;2;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150007803;1,015E+16;48,91497544;2712
1;10150;7803;58;2;5;6;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;10150007803;1,015E+16;48,91497544;2712
1;10150;7803;58;2;5;7;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;10150007803;1,015E+16;48,91497544;2712
1;10150;7903;42;12;9;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;10150007903;1,015E+16;46,60529606;2713
1;10150;7903;42;12;9;3;1;3;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;2;3;3;2;10150007903;1,015E+16;46,60529606;2713
1;10150;7903;42;12;9;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;10150007903;1,015E+16;46,60529606;2713
1;10150;7903;42;12;9;7;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;10150007903;1,015E+16;46,60529606;2713
1;10150;7903;42;12;9;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;3;10150007903;1,015E+16;46,60529606;2713
1;10150;7903;42;12;9;9;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;10150007903;1,015E+16;46,60529606;2713
1;10150;7903;42;12;9;10;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;10150007903;1,015E+16;46,60529606;2713
1;10150;8201;15;6;9;1;1;3;3;2;2;3;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;3;3;3;10150008201;1,015E+16;127,0693142;2713
1;10150;8201;15;6;9;2;1;3;3;3;2;3;2;3;2;3;3;2;2;3;2;2;3;2;2;2;2;3;3;2;10150008201;1,015E+16;127,0693142;2713
1;10150;8201;15;6;9;3;1;2;3;2;2;2;3;2;2;3;2;2;3;2;2;3;2;2;2;2;2;3;3;3;10150008201;1,015E+16;127,0693142;2713
1;10150;8201;15;6;9;4;1;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;10150008201;1,015E+16;127,0693142;2713
1;10150;8201;15;6;9;5;1;2;3;2;2;2;2;3;2;2;2;3;2;2;2;2;2;2;1;2;3;2;3;3;10150008201;1,015E+16;127,0693142;2713
1;10150;8201;15;6;9;7;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;10150008201;1,015E+16;127,0693142;2713
1;10150;8201;15;6;9;9;1;3;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;2;2;3;3;2;2;10150008201;1,015E+16;127,0693142;2713
1;10150;9603;78;11;5;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009603;1,015E+16;43,88903221;2711
1;10150;9603;78;11;5;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009603;1,015E+16;43,88903221;2711
1;10150;9603;78;11;5;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009603;1,015E+16;43,88903221;2711
1;10150;9603;78;11;5;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009603;1,015E+16;43,88903221;2711
1;10150;9603;78;11;5;5;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;10150009603;1,015E+16;43,88903221;2711
1;10150;9603;78;11;5;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;10150009603;1,015E+16;43,88903221;2711
1;10150;9603;78;11;5;7;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009603;1,015E+16;43,88903221;2711
1;10150;9802;46;1;5;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009802;1,015E+16;78,28709534;2712
1;10150;9802;46;1;5;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009802;1,015E+16;78,28709534;2712
1;10150;9802;46;1;5;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009802;1,015E+16;78,28709534;2712
1;10150;9802;46;1;5;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;10150009802;1,015E+16;78,28709534;2712
1;10150;9802;46;1;5;7;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009802;1,015E+16;78,28709534;2712
1;10150;9802;46;1;5;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009802;1,015E+16;78,28709534;2712
1;10150;9802;46;1;5;8;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150009802;1,015E+16;78,28709534;2712
1;10150;9802;46;1;5;9;1;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;10150009802;1,015E+16;78,28709534;2712
1;10150;10702;12;9;5;1;1;1;2;2;2;2;1;2;2;2;1;1;2;2;2;3;3;1;2;1;2;2;3;2;10150010702;1,015E+16;84,56439468;2713
1;10150;10702;12;9;5;2;1;2;1;2;2;3;1;3;2;2;2;2;1;3;1;3;3;2;2;2;2;1;2;2;10150010702;1,015E+16;84,56439468;2713
1;10150;10702;12;9;5;3;1;2;1;3;3;2;3;3;3;3;3;2;2;3;3;3;3;2;2;2;3;1;3;2;10150010702;1,015E+16;84,56439468;2713
1;10150;10702;12;9;5;4;1;2;2;2;1;2;2;2;1;1;2;1;1;3;1;3;3;2;2;1;2;2;3;2;10150010702;1,015E+16;84,56439468;2713
1;10150;10702;12;9;5;5;1;3;2;2;2;3;2;3;2;2;1;3;3;3;2;3;3;2;2;2;3;3;3;2;10150010702;1,015E+16;84,56439468;2713
1;10150;10702;12;9;5;6;1;3;2;2;2;3;1;2;1;2;2;3;1;3;3;3;3;2;2;2;3;3;3;2;10150010702;1,015E+16;84,56439468;2713
1;10150;10702;12;9;5;7;1;2;1;2;2;3;1;2;1;1;2;3;1;3;1;3;3;2;2;1;3;3;3;3;10150010702;1,015E+16;84,56439468;2713
1;10150;10805;62;3;5;1;1;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150010805;1,015E+16;112,8665261;2712
1;10150;10805;62;3;5;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150010805;1,015E+16;112,8665261;2712
1;10150;10805;62;3;5;3;1;2;2;1;1;3;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;3;10150010805;1,015E+16;112,8665261;2712
1;10150;10805;62;3;5;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;3;3;10150010805;1,015E+16;112,8665261;2712
1;10150;10805;62;3;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150010805;1,015E+16;112,8665261;2712
1;10150;10805;62;3;5;6;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;10150010805;1,015E+16;112,8665261;2712
1;10150;10805;62;3;5;7;1;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;10150010805;1,015E+16;112,8665261;2712
1;10150;11101;31;9;5;1;1;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;2;2;3;2;10150011101;1,015E+16;70,34685437;2713
1;10150;11101;31;9;5;2;1;2;2;1;1;3;2;3;2;2;2;3;3;2;2;3;3;2;2;1;3;1;3;1;10150011101;1,015E+16;70,34685437;2713
1;10150;11101;31;9;5;3;1;2;2;2;2;3;2;3;2;2;2;3;3;2;2;3;2;2;2;2;2;2;2;2;10150011101;1,015E+16;70,34685437;2713
1;10150;11101;31;9;5;4;1;2;2;2;2;2;3;2;2;2;2;3;1;2;2;3;2;2;2;2;2;2;2;2;10150011101;1,015E+16;70,34685437;2713
1;10150;11101;31;9;5;5;1;1;2;1;1;3;2;3;2;2;2;3;3;2;3;3;3;2;2;2;2;2;3;2;10150011101;1,015E+16;70,34685437;2713
1;10150;11101;31;9;5;6;1;1;1;2;2;3;2;3;2;2;2;3;3;2;2;3;3;2;2;2;1;2;3;3;10150011101;1,015E+16;70,34685437;2713
1;10150;11101;32;8;5;7;1;2;2;2;2;3;2;3;2;2;2;3;3;2;2;3;3;2;2;2;3;3;3;3;10150011101;1,015E+16;70,34685437;2713
1;10150;11304;7;3;5;1;1;1;2;1;2;2;2;2;2;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2;10150011304;1,015E+16;144,8553503;2712
1;10150;11304;7;3;5;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;10150011304;1,015E+16;144,8553503;2712
1;10150;11304;7;3;5;3;1;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;3;3;10150011304;1,015E+16;144,8553503;2712
1;10150;11304;7;3;5;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150011304;1,015E+16;144,8553503;2712
1;10150;11304;7;3;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;3;3;10150011304;1,015E+16;144,8553503;2712
1;10150;11304;7;3;5;6;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150011304;1,015E+16;144,8553503;2712
1;10150;11304;7;3;5;7;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150011304;1,015E+16;144,8553503;2712
1;10150;12101;78;9;5;1;1;3;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150012101;1,015E+16;164,2236741;2712
1;10150;12101;78;8;5;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;10150012101;1,015E+16;164,2236741;2712
1;10150;12101;78;8;5;3;1;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;2;3;2;10150012101;1,015E+16;164,2236741;2712
1;10150;12101;78;8;5;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150012101;1,015E+16;164,2236741;2712
1;10150;12101;78;8;5;5;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10150012101;1,015E+16;164,2236741;2712
1;10150;12101;78;8;5;6;1;3;2;3;1;2;1;3;2;2;2;2;2;3;2;2;2;2;2;2;3;3;2;2;10150012101;1,015E+16;164,2236741;2712
1;10150;12101;78;8;5;7;1;3;3;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;10150012101;1,015E+16;164,2236741;2712
1;10150;12302;10;6;9;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;10150012302;1,015E+16;111,9054637;2713
